ticker,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,enterpriseToEbitda,pegRatio,returnOnEquity,returnOnAssets,profitMargins,operatingMargins,grossMargins,debtToEquity,currentRatio,quickRatio,revenueGrowth,earningsGrowth,marketCap,trailingEps,forwardEps,bookValue,dividendYield,beta,sector,download_date
TGT,11.848485,12.723607,2.8553483,0.42205122,7.534,,0.25094998,0.052410003,0.03576,0.04626,0.27813998,132.062,0.975,0.18,-0.016,-0.184,44417515520,8.25,7.68257,34.234,4.68,1.125,Consumer,2025-12-31
LOW,19.947063,18.57433,-13.031449,1.6055909,14.53,,,0.13182001,0.08045,0.1192,0.3359,,1.04,0.094,0.032,-0.037,135279058944,12.09,12.98351,-18.506,1.97,0.956,Consumer,2025-12-31
PG,20.890669,19.496925,6.378689,3.949171,14.66,,0.31902,0.10746,0.19739,0.2758,0.51278996,67.125,0.714,0.465,0.03,0.214,335414951936,6.86,7.35039,22.467,2.93,0.382,Consumer,2025-12-31
KO,23.149008,21.704844,9.6255,6.3124304,20.593,,0.42442,0.08959,0.2734,0.32373002,0.61632997,144.771,1.211,0.877,0.051,0.301,300869386240,3.02,3.22094,7.263,2.91,0.393,Consumer,2025-12-31
CAT,29.438335,25.637651,12.977595,4.1498895,21.859,,0.46283,0.08201,0.14339,0.17746,0.3012,201.046,1.384,0.784,0.095,-0.036,268377505792,19.46,22.34487,44.143,1.05,1.563,Industrials,2025-12-31
HON,20.579115,18.449604,7.3805466,3.232487,15.391,,0.34616002,0.066589996,0.1507,0.18505,0.36944,215.247,1.358,0.985,0.07,0.324,131465240576,9.48,10.57421,26.433,2.33,0.949,Industrials,2025-12-31
UPS,15.330758,13.865417,5.315933,0.94041735,9.218,,0.33618,0.07118,0.061490003,0.10175,0.21691,184.32,1.305,1.174,-0.037,-0.141,84151369728,6.47,7.15377,18.659,6.58,1.094,Industrials,2025-12-31
BA,,92.839485,-19.977917,2.1053336,-32.42,,,-0.035099998,-0.12197,-0.204,0.01195,,1.182,0.335,0.304,,170020421632,-13.7,2.33866,-10.868,,1.175,Industrials,2025-12-31
GE,41.18048,42.728947,17.272064,7.4322443,29.998,,0.42131,0.049289998,0.18344,0.20598,0.32459998,115.246,1.077,0.717,0.238,0.193,326647119872,7.48,7.20893,17.834,0.46,1.405,Industrials,2025-12-31
RTX,37.581966,27.078503,3.8115425,2.8596733,19.592,,0.10702,0.03787,0.07666,0.12399,0.20127001,61.315,1.073,0.665,0.119,0.294,245897576448,4.88,6.7729,48.117,1.48,0.435,Industrials,2025-12-31
DE,25.13877,20.5648,4.8503947,2.7595181,21.459,,0.20427999,0.03875,0.11017,0.12385,0.26957,248.418,2.262,2.026,0.126,-0.137,125911285760,18.52,22.63917,95.986,1.38,1.007,Industrials,2025-12-31
LMT,26.930403,16.556614,17.997694,1.53949,18.14,,0.62776,0.06391,0.05726,0.11693,0.08252,358.987,1.129,0.926,0.088,0.022,112920043520,17.96,29.2131,26.874,2.83,0.241,Industrials,2025-12-31
MMM,25.534292,18.520983,18.376953,3.4350057,15.201,,0.72920996,0.07971,0.137,0.24367,0.40979,281.904,1.842,1.027,0.035,-0.375,85274017792,6.27,8.64425,8.712,1.81,1.148,Industrials,2025-12-31
UNP,19.653357,18.2587,7.928978,5.589912,13.654,,0.41619,0.09198,0.2873,0.41030997,0.56144,189.829,0.748,0.527,0.025,0.095,137209978880,11.77,12.66903,29.174,2.37,0.995,Industrials,2025-12-31
