ticker,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,enterpriseToEbitda,pegRatio,returnOnEquity,returnOnAssets,profitMargins,operatingMargins,grossMargins,debtToEquity,currentRatio,quickRatio,revenueGrowth,earningsGrowth,marketCap,trailingEps,forwardEps,bookValue,dividendYield,beta,sector,download_date
AAPL,34.721554,28.341707,51.967537,9.209279,26.876,,1.7142199,0.22964,0.26915002,0.31647,0.46905,152.411,0.893,0.771,0.079,0.912,3832542658560,7.47,9.15153,4.991,0.4,1.093,Technology,2026-01-11
MSFT,34.136753,25.571993,9.813268,12.125331,21.513,,0.32241002,0.14656,0.35707,0.48873,0.68764,33.154,1.401,1.254,0.184,0.127,3562567892992,14.04,18.74238,48.84,0.76,1.073,Technology,2026-01-11
NVDA,45.644444,24.369152,37.788223,24.050116,39.419,,1.07359,0.53528,0.53007,0.63168997,0.7005,9.102,4.468,3.605,0.625,0.667,4500786511872,4.05,7.58582,4.892,0.02,2.314,Technology,2026-01-11
GOOGL,32.467392,29.201004,10.257235,10.324066,26.937,,0.3545,0.16275999,0.32233003,0.30512,0.59172,11.424,1.747,1.563,0.159,0.353,3979679891456,10.12,11.25201,32.033,0.26,1.086,Technology,2026-01-11
META,28.89646,21.46915,8.483501,8.688235,16.796,,0.32643002,0.18013,0.30892,0.40075,0.82013,26.311,1.978,1.671,0.262,-0.826,1646055784448,22.6,30.41853,76.98,0.32,1.287,Technology,2026-01-11
AVGO,72.47269,24.49417,5.8251295,25.601408,4.89,,0.31048,0.09788,0.36198002,0.31765,0.77325994,166.032,1.705,1.53,0.164,1.881,1635597156352,4.76,14.08376,59.221,0.75,1.218,Technology,2026-01-11
ORCL,37.31579,24.958607,19.042686,9.347938,25.997,,0.69026,0.06864,0.25280002,0.31997,0.68543,432.511,0.909,0.773,0.142,0.909,570373767168,5.32,7.95397,10.425,1.01,1.651,Technology,2026-01-11
CSCO,28.525097,16.518171,6.2068386,5.059395,19.508,,0.22418,0.06646,0.17902,0.23604,0.64847,63.228,0.927,0.718,0.075,0.06,291906846720,2.59,4.47265,11.903,2.22,0.863,Technology,2026-01-11
ADBE,19.997005,12.678398,11.98113,5.959931,14.585,,0.55426,0.18221001,0.29997,0.36503,0.89268,57.197,0.996,0.876,0.105,0.172,141661601792,16.7,26.34008,27.873,,1.526,Technology,2026-01-11
CRM,34.70494,19.81484,4.0796022,6.137929,20.666,,0.12184,0.059499998,0.17913,0.23862,0.77729,19.385,0.984,0.785,0.086,0.386,247462887424,7.49,13.11845,63.717,0.64,1.266,Technology,2026-01-11
AMD,106.37173,31.294477,5.441082,10.327824,54.079,,0.05317,0.025980001,0.10323,0.13736,0.51457,6.366,2.308,1.176,0.356,0.603,330769203200,1.91,6.4922,37.34,,1.95,Technology,2026-01-11
INTC,759.1667,76.78562,2.0407705,4.065822,23.306,,0.0018600001,-0.00463,0.0037099998,0.06284,0.33023,39.881,1.602,1.057,0.028,,217273483264,0.06,0.59321,22.32,,1.354,Technology,2026-01-11
